aX,aY,aZ,gX,gY,gZ
-0.059,0.107,0.978,2.075,-3.479,3.052
0.042,0.080,0.973,2.197,-3.601,3.113
0.005,0.012,0.975,2.319,-3.479,3.113
-0.090,0.053,0.983,2.258,-3.540,3.235
-0.035,0.112,0.979,2.075,-3.479,3.174
0.049,0.060,0.973,2.136,-3.479,3.113
-0.020,0.013,0.976,2.136,-3.174,3.357
-0.089,0.074,0.981,1.831,-3.296,3.296
-0.007,0.111,0.976,1.892,-3.296,3.052
0.049,0.046,0.973,1.892,-3.601,3.052
-0.045,0.019,0.978,2.014,-3.906,3.296
-0.089,0.087,0.982,2.136,-3.784,3.357
0.007,0.103,0.977,2.014,-3.662,3.235
0.039,0.031,0.973,2.258,-3.540,3.296
-0.062,0.024,0.979,2.197,-3.113,3.174
-0.075,0.097,0.982,2.136,-2.991,3.113
0.030,0.095,0.974,1.953,-3.052,3.052
0.030,0.023,0.972,1.770,-3.296,3.174
-0.074,0.036,0.977,2.014,-3.479,3.357
-0.060,0.107,0.979,1.892,-3.784,3.418
0.040,0.082,0.973,2.136,-3.845,3.296
0.009,0.015,0.974,2.258,-3.723,3.357
-0.088,0.049,0.982,2.319,-3.601,3.296
-0.045,0.110,0.980,2.258,-3.296,3.235
0.047,0.068,0.974,2.136,-3.174,3.174
-0.008,0.012,0.975,1.953,-3.174,3.113
-0.090,0.063,0.981,2.197,-3.418,3.174
-0.023,0.111,0.978,2.136,-3.601,3.174
0.050,0.052,0.974,2.075,-3.784,3.235
-0.032,0.014,0.978,2.075,-3.662,3.357
-0.091,0.080,0.983,2.075,-3.662,3.357
0.001,0.108,0.977,2.075,-3.357,3.113
0.043,0.035,0.971,1.953,-3.235,3.113
-0.054,0.023,0.974,1.831,-3.174,3.235
-0.079,0.096,0.981,1.892,-2.930,3.174
0.026,0.095,0.978,1.892,-3.296,3.052
0.032,0.024,0.975,1.953,-3.723,3.174
-0.074,0.035,0.980,2.136,-3.784,3.418
-0.065,0.104,0.978,2.319,-3.479,3.357
0.017,0.097,0.972,2.197,-3.296,3.174
0.042,0.061,0.972,2.075,-2.930,3.174
0.038,0.048,0.976,2.136,-2.869,3.479
0.037,0.052,0.979,2.075,-2.991,3.479
0.030,0.071,0.976,2.136,-3.357,3.235
-0.003,0.091,0.975,2.014,-3.479,3.174
-0.058,0.086,0.977,2.014,-3.723,3.174
-0.054,0.041,0.975,2.014,-3.784,3.235
0.015,0.046,0.974,2.075,-3.662,3.296
-0.026,0.091,0.979,2.014,-3.357,3.357
-0.047,0.041,0.980,1.953,-2.991,2.930
0.028,0.059,0.978,2.014,-3.174,3.296
-0.032,0.096,0.979,2.014,-2.991,3.235
-0.068,0.062,0.977,2.014,-3.723,2.991
-0.034,0.029,0.975,2.197,-3.784,3.052
0.009,0.028,0.972,2.319,-3.784,3.418
0.029,0.046,0.973,2.258,-3.723,3.479
0.033,0.061,0.975,2.319,-3.357,3.174
0.034,0.067,0.976,2.136,-3.296,3.113
0.036,0.066,0.975,1.953,-3.113,3.052
0.040,0.059,0.974,1.953,-3.113,3.174
0.039,0.046,0.972,1.953,-3.418,3.235
0.026,0.029,0.973,2.014,-3.601,3.235
-0.006,0.017,0.975,2.075,-3.662,3.174
-0.052,0.025,0.977,2.197,-3.479,3.235
-0.086,0.057,0.979,2.258,-3.662,3.296
-0.072,0.095,0.981,2.380,-3.357,3.235
-0.011,0.107,0.978,2.319,-3.174,3.113
0.043,0.072,0.974,2.197,-3.174,3.113
0.028,0.024,0.974,2.197,-3.296,3.235
-0.048,0.022,0.976,1.953,-3.418,3.357
-0.089,0.072,0.978,2.014,-3.601,3.357
-0.033,0.111,0.977,2.075,-3.662,3.235
0.042,0.075,0.974,2.075,-3.540,3.235
0.018,0.019,0.974,2.258,-3.418,3.357
-0.069,0.033,0.981,2.075,-3.296,3.235
-0.076,0.096,0.981,1.953,-3.235,3.174
0.014,0.103,0.976,2.075,-3.113,3.052
0.045,0.039,0.971,1.953,-3.235,3.174
-0.040,0.018,0.976,2.197,-3.540,3.296
-0.090,0.077,0.981,2.075,-3.479,3.235
-0.013,0.109,0.978,2.197,-3.601,3.235
0.048,0.052,0.972,2.075,-3.601,3.296
-0.025,0.014,0.977,2.014,-3.418,3.357
-0.092,0.070,0.982,2.197,-3.357,3.296
-0.021,0.111,0.978,2.258,-3.357,3.113
0.051,0.056,0.972,1.953,-3.357,3.113
-0.019,0.013,0.975,2.136,-3.479,3.174
-0.092,0.069,0.981,2.136,-3.540,3.113
-0.019,0.112,0.976,2.075,-3.479,3.113
0.048,0.053,0.974,1.892,-3.418,3.174
-0.028,0.014,0.977,2.075,-3.479,3.296
-0.092,0.075,0.981,2.075,-3.479,3.235
-0.010,0.110,0.977,2.075,-3.479,3.235
0.049,0.047,0.973,2.136,-3.418,3.174
-0.037,0.016,0.977,2.014,-3.296,3.235
-0.091,0.077,0.979,2.075,-3.418,3.235
-0.000,0.107,0.977,1.892,-3.174,3.052
0.045,0.043,0.978,1.953,-2.991,2.991
-0.042,0.018,0.984,2.075,-3.601,3.052
-0.084,0.089,0.985,2.197,-3.845,3.296
0.010,0.104,0.973,2.197,-3.479,3.357
0.039,0.031,0.966,1.953,-3.418,3.235
-0.061,0.024,0.974,2.136,-3.235,3.113
-0.077,0.096,0.982,2.136,-3.174,3.113
0.026,0.096,0.981,2.136,-3.235,3.296
0.031,0.025,0.978,1.831,-3.296,3.235
-0.070,0.032,0.980,1.709,-3.357,3.235
-0.066,0.103,0.978,1.770,-3.357,3.113
0.035,0.088,0.970,1.953,-3.540,3.296
0.017,0.020,0.970,2.136,-3.479,3.357
-0.081,0.043,0.979,2.197,-3.662,3.296
-0.053,0.107,0.980,2.014,-3.540,3.052
0.043,0.076,0.975,2.258,-3.357,3.174
0.006,0.013,0.975,2.380,-3.418,3.479
-0.088,0.052,0.981,2.197,-3.540,3.296
-0.042,0.111,0.978,2.075,-3.540,3.113
0.047,0.068,0.971,1.953,-3.784,2.930
-0.006,0.012,0.974,1.953,-3.906,3.296
-0.091,0.062,0.981,1.892,-3.906,3.296
-0.029,0.112,0.978,2.075,-3.601,3.052
0.049,0.059,0.973,2.136,-3.418,3.052
-0.021,0.013,0.976,2.380,-3.479,3.296
-0.090,0.071,0.984,2.502,-3.540,3.235
-0.012,0.110,0.978,2.319,-3.479,3.113
0.049,0.047,0.972,2.258,-3.540,3.113
-0.038,0.013,0.975,2.075,-3.479,3.235
-0.090,0.081,0.979,2.075,-3.540,3.235
0.001,0.107,0.976,2.136,-3.540,3.235
0.044,0.037,0.974,2.014,-3.357,3.235
-0.051,0.023,0.981,1.770,-3.174,3.235
-0.081,0.095,0.982,2.014,-3.235,2.991
0.019,0.101,0.975,1.953,-3.296,3.052
0.033,0.027,0.972,2.014,-3.601,3.113
-0.070,0.029,0.979,2.075,-3.662,3.235
-0.072,0.101,0.981,2.319,-3.540,3.174
0.030,0.090,0.976,2.380,-3.418,3.113
0.019,0.019,0.976,2.258,-3.235,3.235
-0.079,0.041,0.982,1.953,-2.991,3.113
-0.055,0.109,0.980,2.014,-3.174,3.174
0.044,0.080,0.972,1.770,-3.235,3.113
0.010,0.016,0.970,1.831,-3.540,3.113
-0.086,0.050,0.977,2.136,-3.662,3.357
-0.044,0.110,0.978,2.258,-3.906,3.296
0.045,0.068,0.975,2.380,-3.723,3.174
-0.006,0.011,0.976,2.258,-3.418,3.296
-0.091,0.059,0.982,2.014,-3.113,3.113
-0.029,0.112,0.979,2.014,-3.052,3.174
0.051,0.060,0.972,2.014,-3.235,3.235
-0.018,0.013,0.973,1.953,-3.418,3.357
-0.095,0.066,0.975,2.014,-3.479,3.235
-0.015,0.112,0.975,2.075,-3.479,3.052
0.046,0.051,0.977,1.953,-2.991,3.235
-0.030,0.013,0.985,2.075,-3.296,3.235
-0.088,0.081,0.989,2.136,-3.540,3.235
-0.004,0.110,0.976,2.136,-3.296,3.357
0.048,0.040,0.964,2.014,-3.235,3.296
-0.045,0.017,0.971,1.892,-3.113,3.235
-0.084,0.086,0.982,1.831,-3.418,3.113
0.009,0.105,0.982,2.014,-3.479,3.235
0.041,0.037,0.980,1.953,-3.601,3.235
-0.054,0.023,0.982,1.831,-3.723,3.113
-0.082,0.091,0.979,2.014,-3.052,3.235
0.018,0.102,0.971,2.075,-3.174,3.174
0.037,0.032,0.968,2.014,-3.357,3.357
-0.062,0.027,0.976,2.258,-3.296,3.357
-0.075,0.097,0.981,2.197,-3.418,3.052
0.025,0.093,0.977,2.319,-3.540,3.235
0.028,0.022,0.975,2.136,-3.601,3.418
-0.074,0.032,0.980,1.953,-3.479,3.235
-0.069,0.104,0.982,1.892,-3.540,3.052
0.033,0.089,0.973,1.892,-3.479,3.113
0.031,0.028,0.972,1.892,-3.418,3.235
-0.020,0.019,0.975,2.075,-3.174,3.174
-0.042,0.025,0.979,2.136,-3.174,3.113
-0.038,0.025,0.978,2.197,-3.235,2.991
-0.014,0.023,0.977,2.319,-3.479,3.174
0.021,0.037,0.975,2.319,-3.540,3.296
0.020,0.076,0.975,2.136,-3.601,3.357
-0.043,0.091,0.978,1.953,-3.357,3.174
-0.055,0.043,0.979,1.953,-3.357,2.930
0.020,0.051,0.974,1.892,-3.479,3.174
-0.039,0.089,0.977,2.075,-3.540,3.479
-0.037,0.035,0.977,2.075,-3.540,2.869
0.027,0.058,0.975,2.136,-3.357,3.357
-0.022,0.097,0.978,2.258,-3.418,3.357
-0.070,0.075,0.979,2.197,-3.296,3.113
-0.060,0.040,0.978,2.197,-3.601,3.113
-0.029,0.026,0.976,2.258,-3.296,3.174
-0.002,0.023,0.974,2.075,-3.479,3.113
0.010,0.026,0.974,2.014,-3.357,3.174
0.015,0.027,0.975,1.953,-3.601,3.174
0.010,0.023,0.975,2.075,-3.540,3.113
-0.005,0.019,0.976,2.075,-3.479,3.113
-0.030,0.021,0.976,2.075,-3.418,3.235
-0.061,0.031,0.978,2.136,-3.357,3.174
-0.083,0.056,0.979,2.136,-3.296,3.113
-0.077,0.089,0.980,2.136,-3.418,3.174
-0.036,0.108,0.979,2.319,-3.357,3.235
0.022,0.094,0.976,2.136,-3.113,3.113
0.046,0.051,0.974,2.136,-3.357,3.174
0.005,0.018,0.973,2.197,-3.479,3.357
-0.064,0.031,0.978,2.014,-3.296,3.235
-0.087,0.081,0.980,2.136,-3.357,3.174
-0.026,0.109,0.978,2.197,-3.418,3.235
0.042,0.076,0.974,2.075,-3.540,3.357
0.022,0.021,0.974,1.892,-3.357,3.174
-0.062,0.027,0.979,2.075,-3.357,3.113
-0.083,0.088,0.981,1.953,-3.418,3.174
-0.004,0.107,0.977,1.892,-3.540,3.052
0.049,0.052,0.973,1.953,-3.479,3.296
-0.018,0.013,0.975,1.953,-3.479,3.235
-0.090,0.061,0.979,1.770,-3.540,3.113
-0.037,0.112,0.979,1.892,-3.540,3.174
0.045,0.072,0.974,2.075,-3.418,3.174
0.005,0.016,0.974,2.136,-3.296,3.235
-0.085,0.048,0.980,2.075,-3.418,3.235
-0.051,0.108,0.978,1.953,-3.418,3.357
0.041,0.079,0.974,1.831,-3.357,3.113
0.013,0.017,0.974,2.075,-3.357,3.174
-0.082,0.044,0.979,2.014,-3.357,3.113
-0.057,0.108,0.979,2.136,-3.479,3.113
0.039,0.081,0.973,2.014,-3.540,3.235
0.014,0.016,0.974,2.075,-3.357,3.174
-0.082,0.043,0.980,1.892,-3.296,3.174
-0.054,0.109,0.979,2.197,-3.296,3.174
0.042,0.078,0.974,2.075,-3.418,3.113
0.011,0.015,0.974,2.014,-3.540,3.174
-0.084,0.046,0.980,2.136,-3.357,3.174
-0.051,0.108,0.980,2.258,-3.418,3.235
0.043,0.078,0.975,2.197,-3.418,3.296
0.011,0.016,0.974,2.258,-3.540,3.296
-0.083,0.045,0.980,2.136,-3.479,3.357
-0.056,0.108,0.980,1.953,-3.479,3.113
0.040,0.081,0.974,1.953,-3.601,3.174
0.014,0.018,0.974,2.014,-3.540,3.296
-0.081,0.043,0.979,2.014,-3.479,3.235
-0.057,0.106,0.977,2.258,-3.479,3.235
0.039,0.080,0.971,2.258,-3.723,3.235
0.013,0.015,0.973,2.258,-3.540,3.296
-0.084,0.043,0.982,2.197,-3.479,3.296
-0.055,0.108,0.983,2.319,-3.479,3.174
0.043,0.080,0.976,2.014,-3.357,3.235
0.014,0.017,0.973,1.770,-3.235,3.418
-0.082,0.047,0.977,1.953,-3.418,3.418
-0.050,0.110,0.976,1.892,-3.540,3.235
0.043,0.077,0.972,2.197,-3.540,3.174
0.005,0.014,0.974,2.258,-3.662,3.235
-0.088,0.050,0.982,2.197,-3.601,3.235
-0.046,0.109,0.983,2.197,-3.540,3.174
0.044,0.072,0.976,2.014,-3.357,3.113
0.001,0.014,0.974,1.953,-3.296,3.235
-0.086,0.053,0.980,1.953,-3.052,3.174
-0.042,0.112,0.978,2.075,-3.113,3.174
0.047,0.074,0.973,2.075,-3.296,3.296
0.004,0.015,0.973,2.258,-3.540,3.296
-0.087,0.051,0.980,2.319,-3.662,3.357
-0.047,0.110,0.979,2.319,-3.723,3.296
0.044,0.074,0.974,2.380,-3.662,3.296
0.003,0.013,0.973,2.197,-3.479,3.235
-0.087,0.051,0.981,1.953,-3.357,3.052
-0.044,0.108,0.977,1.953,-3.296,2.991
0.048,0.070,0.968,1.831,-3.235,3.113
-0.000,0.016,0.975,1.709,-2.991,3.174
-0.087,0.056,0.987,1.709,-3.357,3.296
-0.034,0.111,0.986,1.770,-3.723,3.296
0.047,0.068,0.977,2.197,-4.028,3.418
-0.010,0.015,0.973,2.075,-4.150,3.418
-0.094,0.063,0.974,2.258,-3.845,3.296
-0.027,0.111,0.971,2.441,-3.479,3.113
0.049,0.053,0.971,2.319,-3.113,3.113
-0.026,0.013,0.979,2.136,-2.930,3.296
-0.088,0.075,0.989,1.892,-3.052,3.052
-0.006,0.109,0.983,1.770,-3.357,3.052
0.049,0.044,0.974,1.892,-3.662,3.235
-0.042,0.019,0.973,1.770,-3.906,3.479
-0.091,0.087,0.976,2.014,-4.028,3.296
0.002,0.108,0.973,2.258,-3.662,3.174
0.043,0.037,0.972,2.319,-2.991,3.113
-0.049,0.019,0.980,2.380,-2.930,3.296
-0.083,0.087,0.986,2.441,-2.991,3.296
0.009,0.103,0.979,2.136,-3.235,3.174
0.044,0.036,0.972,2.075,-3.723,3.174
-0.049,0.019,0.975,1.892,-3.845,3.357
-0.088,0.086,0.979,2.014,-3.784,3.296
0.000,0.107,0.974,1.953,-3.418,3.052
0.044,0.044,0.973,1.892,-3.235,3.113
-0.039,0.017,0.978,1.892,-3.052,3.235
-0.089,0.078,0.983,1.953,-3.235,3.113
-0.011,0.111,0.978,1.892,-3.174,3.174
0.051,0.055,0.974,1.892,-3.296,3.235
-0.017,0.013,0.974,2.075,-3.357,3.296
-0.091,0.061,0.979,2.075,-3.418,3.296
-0.039,0.111,0.977,2.136,-3.479,3.174
0.044,0.072,0.972,2.014,-3.479,3.174
0.009,0.014,0.975,2.014,-3.357,3.235
-0.081,0.043,0.982,2.075,-3.357,3.235
-0.062,0.105,0.980,2.136,-3.479,3.113
0.031,0.091,0.974,1.953,-3.296,3.113
0.030,0.025,0.973,2.075,-3.357,3.235
-0.064,0.028,0.978,1.953,-3.540,3.235
-0.079,0.094,0.979,1.831,-3.479,3.235
0.012,0.102,0.975,2.197,-3.357,3.052
0.042,0.037,0.972,2.075,-3.296,3.113
-0.034,0.018,0.978,1.953,-3.235,3.296
-0.077,0.046,0.981,2.075,-3.357,3.296
-0.080,0.063,0.980,2.136,-3.479,3.235
-0.078,0.063,0.980,2.136,-3.357,3.296
-0.065,0.047,0.979,1.953,-3.540,3.296
-0.031,0.028,0.975,1.770,-3.662,3.235
0.018,0.040,0.974,2.014,-3.479,3.235
0.009,0.084,0.975,2.014,-3.479,3.357
-0.062,0.079,0.980,2.197,-3.357,3.235
-0.019,0.033,0.977,2.075,-3.357,3.052
0.008,0.079,0.976,2.136,-3.296,3.540
-0.065,0.064,0.979,2.197,-3.113,3.052
0.009,0.036,0.975,2.075,-3.540,2.991
0.010,0.084,0.975,2.014,-3.357,3.357
-0.051,0.093,0.978,2.136,-3.540,3.174
-0.074,0.059,0.979,2.197,-3.601,3.113
-0.047,0.032,0.978,2.258,-3.540,3.296
-0.016,0.023,0.977,2.197,-3.418,3.235
0.004,0.024,0.975,2.014,-3.235,3.235
0.016,0.027,0.974,2.075,-3.479,3.296
0.015,0.026,0.975,2.075,-3.235,3.296
0.009,0.023,0.974,1.953,-3.540,3.113
-0.007,0.020,0.976,1.953,-3.601,3.113
-0.033,0.021,0.976,1.831,-3.357,3.052
-0.062,0.032,0.978,1.892,-3.418,3.174
-0.084,0.058,0.980,1.770,-3.418,3.235
-0.076,0.090,0.980,1.953,-3.418,3.113
-0.032,0.109,0.978,1.953,-3.418,3.235
0.025,0.093,0.976,1.953,-3.479,3.296
0.045,0.047,0.974,2.075,-3.601,3.357
-0.003,0.016,0.976,1.953,-3.601,3.357
-0.072,0.036,0.980,2.136,-3.601,3.357
-0.082,0.090,0.980,2.136,-3.418,3.174
-0.010,0.108,0.977,2.258,-3.418,3.113
0.047,0.063,0.973,2.075,-3.418,3.235
0.005,0.016,0.974,2.014,-3.601,3.174
-0.077,0.040,0.979,1.953,-3.418,3.235
-0.070,0.100,0.981,2.075,-3.540,3.235
0.018,0.099,0.975,1.892,-3.540,3.174
0.041,0.035,0.974,1.892,-3.357,3.235
-0.047,0.019,0.977,2.014,-3.601,3.174
-0.088,0.082,0.980,1.953,-3.540,3.296
-0.003,0.108,0.977,2.075,-3.601,3.113
0.046,0.043,0.973,2.075,-3.418,3.174
-0.036,0.016,0.976,2.075,-3.418,3.357
-0.091,0.078,0.981,2.075,-3.357,3.235
-0.011,0.110,0.978,2.258,-3.540,3.235
0.049,0.051,0.973,2.014,-3.418,3.296
-0.024,0.015,0.976,2.014,-3.296,3.357
-0.090,0.069,0.981,2.014,-3.479,3.296
-0.026,0.111,0.978,2.014,-3.540,3.174
0.048,0.062,0.974,1.892,-3.540,3.174
-0.008,0.012,0.974,2.197,-3.540,3.296
-0.090,0.056,0.982,2.319,-3.540,3.235
-0.043,0.111,0.978,2.197,-3.296,3.174
0.044,0.074,0.973,2.075,-3.113,3.174
0.010,0.015,0.972,2.075,-3.113,3.296
-0.081,0.046,0.979,2.136,-3.235,3.174
-0.057,0.108,0.980,2.136,-3.479,3.174
0.036,0.087,0.974,1.953,-3.662,3.296
0.024,0.022,0.976,1.831,-3.784,3.296
-0.072,0.031,0.981,1.831,-3.357,3.296
-0.077,0.099,0.981,2.075,-3.418,3.235
0.018,0.098,0.977,2.197,-3.174,3.296
0.038,0.033,0.973,2.136,-3.113,3.174
-0.048,0.021,0.978,1.953,-2.991,3.235
-0.086,0.084,0.981,1.892,-3.235,3.235
-0.004,0.109,0.977,1.953,-3.357,3.052
0.049,0.052,0.972,1.892,-3.479,3.235
-0.020,0.014,0.974,2.136,-3.662,3.357
-0.091,0.063,0.980,2.197,-3.540,3.296
-0.037,0.110,0.980,2.075,-3.601,3.113
0.045,0.071,0.976,2.258,-3.357,3.052
0.008,0.015,0.976,2.319,-3.174,3.113
-0.079,0.041,0.981,2.014,-3.113,3.235
-0.065,0.103,0.979,2.136,-3.052,3.174
0.027,0.094,0.973,2.136,-3.296,3.113
0.035,0.030,0.971,2.136,-3.479,3.235
-0.053,0.022,0.978,2.075,-3.479,3.235
-0.088,0.083,0.981,2.319,-3.357,3.235
-0.010,0.109,0.978,2.380,-3.479,3.174
0.048,0.056,0.974,2.319,-3.540,3.174
-0.008,0.013,0.975,2.197,-3.418,3.235
-0.085,0.052,0.981,2.075,-3.296,3.113
-0.055,0.107,0.980,2.014,-3.418,3.113
0.032,0.089,0.974,2.014,-3.662,3.174
0.030,0.026,0.974,1.953,-3.540,3.357
-0.059,0.026,0.978,2.258,-3.540,3.296
-0.085,0.090,0.981,2.319,-3.540,3.113
0.000,0.106,0.976,2.136,-3.418,3.174
0.046,0.046,0.973,2.197,-3.357,3.174
-0.031,0.014,0.977,2.197,-3.296,3.235
-0.090,0.071,0.982,2.136,-3.357,3.174
-0.020,0.111,0.978,2.136,-3.418,3.113
0.048,0.059,0.972,2.197,-3.418,3.174
-0.013,0.013,0.974,2.136,-3.418,3.296
-0.090,0.061,0.981,1.953,-3.601,3.174
-0.035,0.110,0.979,2.136,-3.479,3.052
0.047,0.067,0.974,2.014,-3.296,3.174
-0.003,0.013,0.975,2.014,-3.296,3.296
-0.088,0.054,0.980,2.075,-3.235,3.296
-0.044,0.110,0.979,2.197,-3.418,3.174
0.044,0.073,0.974,2.258,-3.418,3.174
0.008,0.014,0.975,2.197,-3.357,3.235
-0.083,0.047,0.980,2.014,-3.235,3.174
-0.054,0.107,0.980,2.014,-3.479,3.174
0.038,0.081,0.973,2.197,-3.479,3.174
0.019,0.018,0.972,2.075,-3.357,3.174
-0.077,0.039,0.979,2.014,-3.479,3.235
-0.064,0.105,0.980,2.075,-3.540,3.296
0.032,0.088,0.975,2.136,-3.418,3.235
0.026,0.022,0.974,2.014,-3.479,3.113
-0.069,0.033,0.979,2.136,-3.418,3.174
-0.071,0.100,0.981,2.136,-3.418,3.174
0.028,0.093,0.974,2.075,-3.479,3.052
0.031,0.026,0.973,2.197,-3.418,3.052
-0.066,0.028,0.978,2.136,-3.418,3.174
-0.076,0.095,0.980,2.380,-3.357,3.052
0.019,0.097,0.976,2.258,-3.418,2.991
0.037,0.029,0.972,2.075,-3.418,3.235
-0.059,0.024,0.978,2.014,-3.235,3.235
-0.081,0.092,0.980,2.014,-3.296,3.296
0.012,0.103,0.977,2.014,-3.357,3.296
0.043,0.037,0.972,2.014,-3.357,3.418
-0.047,0.021,0.978,2.075,-3.296,3.296
-0.086,0.083,0.983,2.014,-3.418,3.113
-0.003,0.106,0.978,2.014,-3.357,2.930
0.047,0.047,0.973,2.197,-3.418,3.235
-0.028,0.016,0.974,2.441,-3.296,3.479
-0.089,0.069,0.977,2.441,-3.357,3.479
-0.025,0.110,0.977,2.319,-3.357,3.235
0.049,0.064,0.974,2.319,-3.357,2.991
0.005,0.016,0.976,2.014,-3.418,3.113
-0.055,0.028,0.979,2.136,-3.479,3.235
-0.073,0.045,0.979,2.197,-3.418,3.235
-0.071,0.047,0.978,2.014,-3.296,3.174
-0.056,0.035,0.976,2.197,-3.357,3.235
-0.018,0.026,0.977,2.258,-3.357,3.357
0.024,0.045,0.976,2.075,-3.357,3.357
0.005,0.088,0.978,2.197,-3.540,3.479
-0.060,0.074,0.980,2.197,-3.601,3.296
-0.018,0.031,0.976,1.953,-3.662,3.235
0.006,0.081,0.973,2.136,-3.601,3.601
-0.067,0.062,0.977,2.197,-3.601,3.235
0.010,0.035,0.975,1.953,-3.967,3.052
-0.001,0.086,0.977,1.831,-3.479,3.418
-0.064,0.087,0.985,1.831,-3.296,3.235
-0.060,0.047,0.984,1.709,-3.540,2.991
-0.024,0.027,0.978,1.953,-3.113,3.052
0.013,0.031,0.971,2.014,-3.174,2.930
0.032,0.043,0.968,1.953,-3.174,2.808
0.034,0.051,0.968,2.380,-2.991,2.930
0.039,0.054,0.973,2.380,-3.052,2.808
0.040,0.052,0.978,2.258,-3.052,2.747
0.039,0.043,0.978,2.563,-3.052,2.747
0.031,0.029,0.976,2.258,-3.235,2.686
0.010,0.018,0.974,1.953,-3.357,2.991
-0.023,0.018,0.974,1.831,-3.235,3.418
-0.060,0.032,0.975,1.831,-3.479,3.479
-0.083,0.060,0.978,1.892,-3.296,3.235
-0.071,0.095,0.980,1.892,-3.601,3.174
-0.022,0.109,0.978,2.075,-3.601,3.174
0.031,0.084,0.976,2.075,-3.540,3.235
0.040,0.040,0.974,2.136,-3.723,3.174
-0.012,0.015,0.976,2.136,-3.357,3.174
-0.076,0.039,0.979,2.136,-3.357,3.113
-0.077,0.091,0.980,2.258,-3.418,3.235
-0.008,0.107,0.976,2.136,-3.479,3.052
0.047,0.062,0.972,2.014,-3.479,3.174
0.011,0.015,0.974,2.014,-3.479,3.235
-0.068,0.031,0.980,2.197,-3.479,3.235
-0.079,0.090,0.983,1.953,-3.540,3.174
-0.002,0.107,0.980,2.075,-3.418,3.113
0.049,0.056,0.972,2.014,-3.357,3.235
-0.004,0.015,0.971,1.953,-3.540,3.296
-0.081,0.047,0.977,1.953,-3.723,3.357
-0.064,0.104,0.979,2.258,-3.845,3.174
0.024,0.094,0.976,2.197,-3.601,3.296
0.037,0.032,0.974,2.075,-3.601,3.296
-0.046,0.019,0.980,2.075,-3.601,3.174
-0.089,0.078,0.983,1.953,-3.174,3.235
-0.017,0.111,0.978,1.953,-3.113,3.113
0.050,0.061,0.974,1.770,-3.113,3.052
-0.002,0.015,0.973,1.953,-3.113,3.174
-0.083,0.051,0.979,1.953,-3.357,3.296
-0.052,0.108,0.979,2.075,-3.540,3.235
0.038,0.084,0.973,2.197,-3.418,3.052
0.026,0.021,0.972,2.075,-3.418,3.357
-0.068,0.031,0.978,2.136,-3.479,3.357
-0.076,0.095,0.981,2.075,-3.418,3.113
0.016,0.100,0.977,2.075,-3.601,3.174
0.041,0.035,0.973,2.014,-3.418,3.174
-0.045,0.020,0.979,1.953,-3.296,3.357
-0.087,0.082,0.980,2.014,-3.174,3.296
-0.005,0.109,0.974,1.953,-3.418,3.235
0.049,0.049,0.970,2.197,-3.479,3.235
